ds,排名,每百万网民访问该站的人数,每百万受访网页该站网页数,人均浏览页面数,y
5/21/14,9,67700,5670,9.05,37912000
5/22/14,10,69300,5850,9.07,38808000
5/23/14,8,71000,5730,8.43,39760000
5/24/14,7,75600,7070,8.86,42336000
5/25/14,8,74000,6250,7.94,41440000
5/26/14,7,72000,6250,9.25,40320000
5/27/14,9,70800,5590,8.68,39648000
5/28/14,10,71600,5660,8.59,40096000
5/29/14,10,70100,5750,8.71,39256000
5/30/14,9,71300,5780,8.43,39928000
5/31/14,8,74100,6250,7.85,41496000
6/1/14,7,74400,6250,7.94,41664000
6/2/14,10,71800,5090,7.66,40208000
6/3/14,9,66900,5580,8.98,37464000
6/4/14,9,69000,5470,8.48,38640000
6/5/14,10,67600,5590,8.73,37856000
6/6/14,10,63200,5760,9.39,35392000
6/7/14,7,64700,6250,9.09,36232000
6/8/14,7,68700,6170,8.49,38472000
6/9/14,9,67500,5870,9.33,37800000
6/10/14,10,67600,5540,8.9,37856000
6/11/14,11,63000,5240,8.85,35280000
6/12/14,9,67300,5730,8.95,37688000
6/13/14,11,66500,5430,8.35,37240000
6/14/14,8,70500,6510,8.73,39480000
6/15/14,7,70800,6390,8.54,39648000
6/16/14,11,68200,5740,9.11,38192000
6/17/14,10,68700,5300,8.36,38472000
6/18/14,10,69600,5400,8.32,38976000
6/19/14,10,70300,5540,8.41,39368000
6/20/14,8,76300,6340,8.84,42728000
6/21/14,9,68900,5940,8.27,38584000
6/22/14,9,71600,5960,7.98,40096000
6/23/14,11,66500,5080,8.36,37240000
6/24/14,10,68500,5120,8.15,38360000
6/25/14,11,65000,5020,8.38,36400000
6/26/14,10,70100,5840,8.92,39256000
6/27/14,9,69900,5570,8.3,39144000
6/28/14,8,71600,6290,8.29,40096000
6/29/14,7,74200,5820,7.47,41552000
6/30/14,10,69200,5380,8.48,38752000
7/1/14,11,67400,5280,8.5,37744000
7/2/14,10,68100,5330,8.49,38136000
7/3/14,11,67900,5460,8.63,38024000
7/4/14,9,68800,5460,8.06,38528000
7/5/14,9,71900,6040,7.98,40264000
7/6/14,7,72800,6310,8.37,40768000
7/7/14,11,68000,5310,8.69,38080000
7/8/14,11,66600,5320,8.73,37296000
7/9/14,12,67100,5150,8.31,37576000
7/10/14,10,66800,5520,8.93,37408000
7/11/14,12,62800,5160,8.68,35168000
7/12/14,9,70000,6220,8.55,39200000
7/13/14,8,72400,6180,8.07,40544000
7/14/14,11,67000,5000,8.23,37520000
7/15/14,12,64600,5080,8.7,36176000
7/16/14,11,66700,5100,8.36,37352000
7/17/14,10,67200,4960,7.96,37632000
7/18/14,10,65300,5350,8.63,36568000
7/19/14,9,74000,6400,8.27,41440000
7/20/14,8,72900,6190,8.09,40824000
7/21/14,11,68600,5780,9.16,38416000
7/22/14,10,67700,5550,8.88,37912000
7/23/14,10,68400,5700,9.02,38304000
7/24/14,12,65400,5090,8.43,36624000
7/25/14,12,63500,5150,8.56,35560000
7/26/14,9,70400,6220,8.45,39424000
7/27/14,8,71800,5900,7.98,40208000
7/28/14,11,66800,5360,8.9,37408000
7/29/14,12,65200,5230,8.86,36512000
7/30/14,12,66100,5140,8.52,37016000
7/31/14,12,65100,4830,8.05,36456000
8/1/14,12,65500,5130,8.2,36680000
8/2/14,9,69500,5910,8.14,38920000
8/3/14,10,71100,5720,7.77,39816000
8/4/14,12,65400,4980,8.4,36624000
8/5/14,12,64700,4850,8.19,36232000
8/6/14,12,66500,5040,8.32,37240000
8/7/14,12,65200,4900,8.15,36512000
8/8/14,12,60500,4770,8.3,33880000
8/9/14,10,63700,5390,8.09,35672000
8/10/14,10,66000,5510,7.99,36960000
8/11/14,12,60300,4560,8.33,33768000
8/12/14,12,58700,4760,8.38,32872000
8/13/14,12,62200,4910,8.43,34832000
8/14/14,12,63400,4730,8.24,35504000
8/15/14,12,62600,4910,8.36,35056000
8/16/14,10,65500,5390,8.08,36680000
8/17/14,10,67000,5530,8.13,37520000
8/18/14,12,62600,4880,8.74,35056000
8/19/14,11,59200,4890,9.25,33152000
8/20/14,11,63000,5200,9.16,35280000
8/21/14,10,63300,5020,8.7,35448000
8/22/14,11,61200,4600,8.13,34272000
8/23/14,9,64600,5530,8.37,36176000
8/24/14,9,64500,5570,8.48,36120000
8/25/14,10,63700,5090,8.98,35672000
8/26/14,11,61900,4740,8.64,34664000
8/27/14,11,61000,4890,8.91,34160000
8/28/14,11,62300,5060,8.99,34888000
8/29/14,11,61700,5200,9.02,34552000
8/30/14,9,63800,5800,8.86,35728000
8/31/14,9,67000,6010,8.79,37520000
9/1/14,11,59200,4880,8.98,33152000
9/2/14,10,62300,5070,9.13,34888000
9/3/14,11,62100,4690,8.37,34776000
9/4/14,11,63000,5000,8.69,35280000
9/5/14,11,59900,4930,8.69,33544000
9/6/14,10,65200,5400,7.96,36512000
9/7/14,9,65200,5850,8.6,36512000
9/8/14,10,66700,4520,7.46,37352000
9/9/14,12,61400,5170,9.16,34384000
9/10/14,11,58600,5020,9.2,32816000
9/11/14,11,62400,5440,9.32,34944000
9/12/14,11,59200,5130,9.02,33152000
9/13/14,8,62100,6490,9.8,34776000
9/14/14,8,65200,6370,9.3,36512000
9/15/14,11,61800,5140,8.97,34608000
9/16/14,10,63400,5300,9.03,35504000
9/17/14,11,61900,5440,9.4,34664000
9/18/14,11,61900,5200,8.9,34664000
9/19/14,11,62500,5380,8.92,35000000
9/20/14,8,66400,6490,9.1,37184000
9/21/14,9,63000,6060,9.1,35280000
9/22/14,11,63500,5280,9.03,35560000
9/23/14,11,64300,5210,8.62,36008000
9/24/14,11,62800,4900,8.23,35168000
9/25/14,11,62100,4980,8.39,34776000
9/26/14,11,62100,4920,8.12,34776000
9/27/14,8,66100,5730,7.97,37016000
9/28/14,10,63400,5270,7.75,35504000
9/29/14,11,63300,5090,8.56,35448000
9/30/14,12,62700,4460,7.46,35112000
10/1/14,9,68800,4300,6.44,38528000
10/2/14,11,68400,4310,6.45,38304000
10/3/14,9,67100,5840,7.42,37576000
10/4/14,8,67200,7020,8.43,37632000
10/5/14,8,64600,6990,8.95,36176000
10/6/14,9,67200,6090,8.44,37632000
10/7/14,9,66200,6200,8.52,37072000
10/8/14,9,63200,6580,9.58,35392000
10/9/14,11,58400,6320,9.68,32704000
10/10/14,10,65300,7320,9.73,36568000
10/11/14,8,61700,7710,10.4,34552000
10/12/14,8,64900,6960,8.91,36344000
10/13/14,10,57900,6220,9.82,32424000
10/14/14,9,55700,7160,11.1,31192000
10/15/14,10,62800,6530,9.12,35168000
10/16/14,10,58100,6340,9.63,32536000
10/17/14,9,62500,7100,9.8,35000000
10/18/14,8,65600,7880,9.67,36736000
10/19/14,8,65900,7690,9.43,36904000
10/20/14,10,64400,7220,10.08,36064000
10/21/14,10,63100,7270,10.31,35336000
10/22/14,9,62900,7080,9.88,35224000
10/23/14,10,63000,7090,9.74,35280000
10/24/14,10,62300,6990,9.69,34888000
10/25/14,8,64500,7370,9.18,36120000
10/26/14,10,60900,6060,8.11,34104000
10/27/14,10,65100,6800,9.31,36456000
10/28/14,9,64100,6590,8.77,35896000
10/29/14,8,65400,6980,9.06,36624000
10/30/14,9,65000,6630,8.52,36400000
10/31/14,9,63800,6990,8.86,35728000
11/1/14,8,65100,7580,8.95,36456000
11/2/14,8,64400,7010,8.51,36064000
11/3/14,8,66300,7630,10.05,37128000
11/4/14,9,65700,7210,9.88,36792000
11/5/14,10,66100,7260,9.84,37016000
11/6/14,9,66500,7880,10.52,37240000
11/7/14,9,66900,7680,9.98,37464000
11/8/14,8,69300,8560,10,38808000
11/9/14,8,66300,8030,9.88,37128000
11/10/14,8,77300,12310,14.5,43288000
11/11/14,8,81400,12890,14.4,45584000
11/12/14,9,69200,7490,9.61,38752000
11/13/14,9,64500,7340,10.01,36120000
11/14/14,9,66700,7610,9.97,37352000
11/15/14,8,68500,8450,10.06,38360000
11/16/14,8,67400,7120,8.68,37744000
11/17/14,9,67800,6890,9.14,37968000
11/18/14,9,66600,7190,9.68,37296000
11/19/14,9,66700,7230,9.69,37352000
11/20/14,10,66700,7100,9.35,37352000
11/21/14,8,65700,7240,9.46,36792000
11/22/14,9,62800,6900,8.75,35168000
11/23/14,8,67700,7220,8.58,37912000
11/24/14,8,65600,7160,9.73,36736000
11/25/14,9,66400,7200,9.61,37184000
11/26/14,9,67700,6840,8.89,37912000
11/27/14,9,66700,6830,9.03,37352000
11/28/14,9,64800,6890,9.51,36288000
11/29/14,9,67200,7290,9.2,37632000
11/30/14,8,70600,7630,9.25,39536000
12/1/14,9,68300,7250,10.02,38248000
12/2/14,9,69900,7360,9.73,39144000
12/3/14,9,68400,7290,9.74,38304000
12/4/14,9,68600,7320,9.58,38416000
12/5/14,9,67600,6900,8.99,37856000
12/6/14,8,69800,7620,9.09,39088000
12/7/14,8,69500,7540,9.13,38920000
12/8/14,9,69600,7260,9.5,38976000
12/9/14,9,69700,7190,9.26,39032000
12/10/14,8,70700,7320,9.13,39592000
12/11/14,8,82200,9420,10.35,46032000
12/12/14,8,78200,12820,14.5,43792000
12/13/14,8,70700,7830,9.28,39592000
12/14/14,8,72600,7370,8.57,40656000
12/15/14,9,69900,7560,9.96,39144000
12/16/14,9,71700,7460,9.5,40152000
12/17/14,9,71800,7330,9.16,40208000
12/18/14,9,70900,6920,8.77,39704000
12/19/14,9,69800,7290,9.24,39088000
12/20/14,8,72900,7390,8.45,40824000
12/21/14,8,72000,7810,9.09,40320000
12/22/14,8,71200,7260,9.18,39872000
12/23/14,8,70900,7350,9.17,39704000
12/24/14,8,71000,7650,9.02,39760000
12/25/14,8,72800,8500,9.53,40768000
12/26/14,8,70900,7300,8.93,39704000
12/27/14,8,72700,8080,9.32,40712000
12/28/14,8,74100,7520,8.54,41496000
12/29/14,9,72400,6960,8.88,40544000
12/30/14,10,73300,6860,8.54,41048000
12/31/14,10,75400,7110,7.99,42224000
1/1/15,10,73200,6520,7.42,40992000
1/2/15,9,76700,6410,7.59,42952000
1/3/15,8,79300,7440,8.2,44408000
1/4/15,9,76000,8350,9.66,42560000
1/5/15,10,72400,7160,9.22,40544000
1/6/15,10,69500,7940,10.48,38920000
1/7/15,10,70500,7330,9.82,39480000
1/8/15,10,69500,7470,10.13,38920000
1/9/15,10,70400,7310,9.67,39424000
1/10/15,8,75500,7890,9.06,42280000
1/11/15,8,75700,8320,9.64,42392000
1/12/15,9,71100,7240,9.92,39816000
1/13/15,9,71800,7710,10.31,40208000
1/14/15,10,70300,7400,10.11,39368000
1/15/15,9,70400,7350,9.88,39424000
1/16/15,10,69100,7460,10.04,38696000
1/17/15,9,71800,8300,9.96,40208000
1/18/15,9,74000,8290,9.73,41440000
1/19/15,9,69300,7750,10.79,38808000
1/20/15,9,72000,7520,10.16,40320000
1/21/15,9,72600,7950,10.68,40656000
1/22/15,10,72200,8000,10.72,40432000
1/23/15,9,71600,7850,10.39,40096000
1/24/15,8,75800,8940,10.32,42448000
1/25/15,8,75200,8360,9.79,42112000
1/26/15,9,73000,8290,10.97,40880000
1/27/15,9,72100,8210,11.05,40376000
1/28/15,9,69800,7760,10.63,39088000
1/29/15,9,71100,7660,10.26,39816000
1/30/15,9,69800,8100,10.8,39088000
1/31/15,8,74100,9020,10.51,41496000
2/1/15,9,71400,8580,10.5,39984000
2/2/15,9,72100,8960,12.03,40376000
2/3/15,9,71700,8540,11.53,40152000
2/4/15,9,73000,8380,11.03,40880000
2/5/15,9,72600,8540,10.97,40656000
2/6/15,9,72600,8230,10.51,40656000
2/7/15,8,75400,9160,10.44,42224000
2/8/15,8,75800,8380,9.64,42448000
2/9/15,9,74400,7970,10.48,41664000
2/10/15,9,73100,6910,9.14,40936000
2/11/15,10,72200,6680,8.86,40432000
2/12/15,10,72800,6840,8.88,40768000
2/13/15,10,74000,5880,7.36,41440000
2/14/15,10,76000,5870,6.51,42560000
2/15/15,10,76600,6120,6.95,42896000
2/16/15,10,73800,5150,6.64,41328000
2/17/15,10,73000,5020,6.52,40880000
2/18/15,11,70900,3690,4.84,39704000
2/19/15,11,71900,4230,5.45,40264000
2/20/15,11,70300,4520,5.86,39368000
2/21/15,11,71700,5270,6.29,40152000
2/22/15,10,73300,5720,6.8,41048000
2/23/15,10,75400,5100,6.48,42224000
2/24/15,10,72400,5910,7.85,40544000
2/25/15,9,73200,8030,10.45,40992000
2/26/15,9,75100,8520,10.91,42056000
2/27/15,9,75700,9010,11.11,42392000
2/28/15,10,78200,9420,10.52,43792000
3/1/15,9,73200,8050,9.65,40992000
3/2/15,9,76800,8260,10.56,43008000
3/3/15,9,75500,8500,10.99,42280000
3/4/15,9,76000,8300,10.58,42560000
3/5/15,9,76500,8570,10.76,42840000
3/6/15,9,76400,8870,10.83,42784000
3/7/15,8,80200,9570,10.33,44912000
3/8/15,9,78700,8930,9.81,44072000
3/9/15,9,79400,8960,10.98,44464000
3/10/15,9,78000,8660,10.7,43680000
3/11/15,9,76000,8020,10.08,42560000
3/12/15,9,73600,8240,10.56,41216000
3/13/15,8,78700,8910,10.61,44072000
3/14/15,8,79900,8960,9.73,44744000
3/15/15,8,78500,9800,10.81,43960000
3/16/15,9,71900,8150,11.03,40264000
3/17/15,9,73700,8180,10.71,41272000
3/18/15,9,76400,8700,10.9,42784000
3/19/15,9,76800,8300,10.25,43008000
3/20/15,10,76000,8570,10.53,42560000
3/21/15,8,78400,9210,10.14,43904000
3/22/15,8,80300,9200,10.02,44968000
3/23/15,9,72600,8260,11.07,40656000
3/24/15,9,70600,8150,10.88,39536000
3/25/15,9,70800,7730,10.24,39648000
3/26/15,9,71100,7780,10.19,39816000
3/27/15,9,71900,7750,9.88,40264000
3/28/15,9,72200,8100,9.62,40432000
3/29/15,9,68100,8040,10.2,38136000
3/30/15,9,69400,7870,10.81,38864000
3/31/15,9,68600,8150,10.88,38416000
4/1/15,9,69400,7850,10.5,38864000
4/2/15,9,69400,8340,10.85,38864000
4/3/15,10,68700,7690,9.84,38472000
4/4/15,9,65900,7370,9.31,36904000
4/5/15,8,71600,8330,9.66,40096000
4/6/15,9,71100,7780,9.92,39816000
4/7/15,9,70100,8160,10.78,39256000
4/8/15,9,68900,7850,10.48,38584000
4/9/15,9,68200,7890,10.31,38192000
4/10/15,9,68700,8150,10.42,38472000
4/11/15,8,69500,9340,11,38920000
4/12/15,8,70800,8870,10.3,39648000
4/13/15,8,69200,8790,11.67,38752000
4/14/15,8,68700,8260,10.83,38472000
4/15/15,8,68500,8280,10.75,38360000
4/16/15,8,68200,8250,10.75,38192000
4/17/15,9,67800,8030,10.41,37968000
4/18/15,8,66000,8360,10.32,36960000
4/19/15,8,69200,8490,10.24,38752000
4/20/15,8,67900,8070,10.94,38024000
4/21/15,8,68400,8040,10.62,38304000
4/22/15,8,67900,7550,10.01,38024000
4/23/15,8,68900,7730,10.01,38584000
4/24/15,8,67500,7590,9.88,37800000
4/25/15,8,69800,8420,9.95,39088000
4/26/15,8,70500,8320,9.82,39480000
4/27/15,8,69800,8600,11.29,39088000
4/28/15,8,67300,7950,10.78,37688000
4/29/15,8,67000,7010,9.41,37520000
4/30/15,9,67100,6590,8.66,37576000
5/1/15,8,70700,6970,8.47,39592000
5/1/15,8,70700,6970,8.47,39592000
5/2/15,8,69900,8080,9.5,39144000
5/2/15,8,69900,8080,9.5,39144000
5/3/15,8,65700,7560,9.49,36792000
5/3/15,8,65700,7560,9.49,36792000
5/4/15,9,67500,7280,10.03,37800000
5/4/15,9,67500,7280,10.03,37800000
5/5/15,9,66700,7260,9.82,37352000
5/5/15,9,66700,7260,9.82,37352000
5/6/15,9,66500,7320,9.83,37240000
5/6/15,9,66500,7320,9.83,37240000
5/7/15,9,66500,7150,9.57,37240000
5/7/15,9,66500,7150,9.57,37240000
5/8/15,9,67000,7370,9.57,37520000
5/8/15,9,67000,7370,9.57,37520000
5/9/15,8,67900,7880,9.44,38024000
5/9/15,8,67900,7880,9.44,38024000
5/10/15,8,70200,7970,9.19,39312000
5/10/15,8,70200,7970,9.19,39312000
5/11/15,9,66400,7240,9.84,37184000
5/11/15,9,66400,7240,9.84,37184000
5/12/15,9,66500,6870,9.22,37240000
5/12/15,9,66500,6870,9.22,37240000
5/13/15,9,65400,6920,9.35,36624000
5/13/15,9,65400,6920,9.35,36624000
5/14/15,10,65300,6720,9.01,36568000
5/14/15,10,65300,6720,9.01,36568000
5/15/15,9,65900,7060,9.3,36904000
5/15/15,9,65900,7060,9.3,36904000
5/16/15,8,68600,7210,8.5,38416000
5/16/15,8,68600,7210,8.5,38416000
5/17/15,8,67000,7190,8.77,37520000
5/17/15,8,67000,7190,8.77,37520000
5/18/15,8,65800,7290,10.04,36848000
5/18/15,8,65800,7290,10.04,36848000
5/19/15,8,68500,7600,10,38360000
5/19/15,8,68500,7600,10,38360000
5/20/15,8,66600,7550,10.12,37296000
5/20/15,8,66600,7550,10.12,37296000
5/21/15,9,66300,7030,9.48,37128000
5/21/15,9,66300,7030,9.48,37128000
5/22/15,9,66100,6990,9.24,37016000
5/22/15,9,66100,6990,9.24,37016000
5/23/15,8,68900,7800,9.38,38584000
5/23/15,8,68900,7800,9.38,38584000
5/24/15,8,70100,7000,8.39,39256000
5/24/15,8,70100,7000,8.39,39256000
5/25/15,8,69200,7180,9.28,38752000
5/25/15,8,69200,7180,9.28,38752000
5/26/15,8,69500,7470,9.81,38920000
5/26/15,8,69500,7470,9.81,38920000
5/27/15,8,67600,7480,9.97,37856000
5/27/15,8,67600,7480,9.97,37856000
5/28/15,9,69000,7150,9.26,38640000
5/28/15,9,69000,7150,9.26,38640000
5/29/15,10,68400,7390,9.51,38304000
5/29/15,10,68400,7390,9.51,38304000
5/30/15,8,69400,7510,9.02,38864000
5/30/15,8,69400,7510,9.02,38864000
5/31/15,9,68600,7210,8.92,38416000
5/31/15,9,68600,7210,8.92,38416000
6/1/15,8,68300,7340,9.81,38248000
6/2/15,11,68000,6930,9.21,38080000
6/3/15,10,66900,7180,9.58,37464000
6/4/15,10,66700,7120,9.44,37352000
6/5/15,9,66500,7060,9.34,37240000
6/6/15,9,69300,7140,8.61,38808000
6/7/15,8,70900,7250,8.62,39704000
6/8/15,9,68700,6660,8.89,38472000
6/9/15,10,68500,6540,8.74,38360000
6/10/15,9,67500,6580,8.76,37800000
6/11/15,10,67100,6510,8.68,37576000
6/12/15,10,65500,6460,8.65,36680000
6/13/15,9,68800,7160,8.65,38528000
6/14/15,8,70200,6890,8.24,39312000
6/15/15,9,67400,6560,8.97,37744000
6/16/15,9,68200,6630,8.87,38192000
6/17/15,9,67800,6860,9.17,37968000
6/18/15,9,66900,6740,8.9,37464000
6/19/15,10,65600,6070,8.09,36736000
6/20/15,9,67000,6580,8.02,37520000
6/21/15,8,67800,6630,8.03,37968000
6/22/15,8,67800,6650,8.39,37968000
6/23/15,9,67800,6420,8.8,37968000
6/24/15,9,68400,6830,9.07,38304000
6/25/15,9,70000,6740,8.35,39200000
6/26/15,10,68800,6340,8.18,38528000
6/27/15,10,69400,6020,7.23,38864000
6/28/15,9,70300,6150,7.33,39368000
6/29/15,10,68200,5790,7.88,38192000
6/30/15,11,61800,5390,7.94,34608000
7/1/15,10,67300,5740,7.75,37688000
7/2/15,10,67400,5620,7.56,37744000
7/3/15,11,64000,5990,8.27,35840000
7/4/15,9,66600,6770,8.52,37296000
7/5/15,9,66900,6980,8.73,37464000
7/6/15,11,65200,5780,8.26,36512000
7/7/15,11,65100,6050,8.65,36456000
7/8/15,11,65000,6190,8.75,36400000
7/9/15,11,61700,5800,8.48,34552000
7/10/15,10,65500,6390,8.69,36680000
7/11/15,9,68400,6290,7.67,38304000
7/12/15,9,68500,6480,7.97,38360000
7/13/15,11,65000,6140,8.81,36400000
7/14/15,11,65000,5960,8.46,36400000
7/15/15,11,60400,4780,7.4,33824000
7/16/15,10,66000,5490,7.62,36960000
7/17/15,10,67700,5540,7.23,37912000
7/18/15,10,67700,5440,6.66,37912000
7/19/15,9,68600,5410,6.6,38416000
7/20/15,12,62800,4870,7.21,35168000
7/21/15,11,62000,4370,6.47,34720000
7/22/15,11,60600,4230,6.38,33936000
7/23/15,12,59900,4020,6.07,33544000
7/24/15,11,60100,4020,5.89,33656000
7/25/15,11,67700,4640,5.7,37912000
7/26/15,11,69100,4540,5.52,38696000
7/27/15,12,61800,4270,6.42,34608000
7/28/15,13,60000,3550,5.47,33600000
7/29/15,13,60900,3620,5.36,34104000
7/30/15,12,61100,3500,5.14,34216000
7/31/15,12,60300,3660,5.34,33768000
8/1/15,11,67900,4110,4.97,38024000
8/2/15,11,66400,3860,4.84,37184000
8/3/15,12,60000,3350,5.07,33600000
8/4/15,13,60200,3450,5.25,33712000
8/5/15,12,60400,3440,5.19,33824000
8/6/15,12,59200,3330,5.01,33152000
8/7/15,12,64500,3670,5.09,36120000
8/8/15,11,68200,3970,4.84,38192000
8/9/15,11,68200,3910,4.84,38192000
8/10/15,12,66100,3540,5.13,37016000
8/11/15,12,64300,3480,5.02,36008000
8/12/15,12,64200,3260,4.71,35952000
8/13/15,13,57700,3090,4.9,32312000
8/14/15,12,58000,3310,5.01,32480000
8/15/15,11,67200,4100,5.11,37632000
8/16/15,11,68000,3940,4.89,38080000
8/17/15,13,60300,3380,5.29,33768000
8/18/15,13,61800,3340,5.13,34608000
8/19/15,12,61600,3440,5.12,34496000
8/20/15,12,60800,3490,5.17,34048000
8/21/15,12,61200,3550,5.2,34272000
8/22/15,11,67500,4010,5.01,37800000
8/23/15,10,67700,4020,5.06,37912000
8/24/15,12,61900,3480,5.18,34664000
8/25/15,12,66000,3610,5.14,36960000
8/26/15,12,59500,3350,5.21,33320000
8/27/15,12,61700,3500,5.13,34552000
8/28/15,12,59400,3530,5.23,33264000
8/29/15,11,69100,3980,4.82,38696000
8/30/15,11,69400,4050,4.97,38864000
8/31/15,12,63500,3590,5.21,35560000
9/1/15,12,61900,3440,5.12,34664000
9/2/15,12,66300,3910,5.4,37128000
9/3/15,12,68800,3520,4.63,38528000
9/4/15,12,62900,3500,4.88,35224000
9/5/15,11,68000,4330,5.36,38080000
9/6/15,11,67300,4260,5.39,37688000
9/7/15,11,66600,4050,5.59,37296000
9/8/15,11,65500,3970,5.53,36680000
9/9/15,13,62200,3790,5.55,34832000
9/10/15,12,61100,3520,5.2,34216000
9/11/15,12,63900,3860,5.37,35784000
9/12/15,11,68100,4200,5.16,38136000
9/13/15,11,68300,4260,5.23,38248000
9/14/15,13,63200,3870,5.66,35392000
9/15/15,12,63000,3900,5.59,35280000
9/16/15,12,62000,3760,5.48,34720000
9/17/15,12,60900,3690,5.44,34104000
9/18/15,12,60400,3530,5.13,33824000
9/19/15,11,67700,4250,5.2,37912000
9/20/15,11,66800,4060,5.07,37408000
9/21/15,13,61200,3440,5.21,34272000
9/22/15,12,65000,3910,5.53,36400000
9/23/15,13,59900,3540,5.31,33544000
9/24/15,12,60100,3680,5.42,33656000
9/25/15,11,65300,3820,5.16,36568000
9/26/15,11,68300,3720,4.53,38248000
9/27/15,11,66900,3760,4.67,37464000
9/28/15,12,59300,3300,5.03,33208000
9/29/15,12,61000,3370,4.96,34160000
9/30/15,12,62900,3340,4.82,35224000
10/1/15,12,66700,3380,4.45,37352000
10/2/15,10,65600,3380,4.4,36736000
10/3/15,11,69000,3780,4.55,38640000
10/4/15,11,67200,3770,4.7,37632000
10/5/15,12,66800,3540,4.79,37408000
10/6/15,12,67300,3610,4.83,37688000
10/7/15,12,64500,3610,5,36120000
10/8/15,11,65400,4120,5.69,36624000
10/9/15,11,65800,4150,5.61,36848000
10/10/15,11,65700,4450,5.71,36792000
10/11/15,11,68100,4380,5.42,38136000
10/12/15,12,62200,3800,5.6,34832000
10/13/15,13,62400,3630,5.37,34944000
10/14/15,12,61800,3760,5.54,34608000
10/15/15,12,61500,3720,5.44,34440000
10/16/15,10,61800,3780,5.35,34608000
10/17/15,11,67800,4040,4.89,37968000
10/18/15,11,69200,4010,4.85,38752000
10/19/15,12,67900,3900,5.32,38024000
10/20/15,12,62600,3570,5.21,35056000
10/21/15,11,62400,3670,5.33,34944000
10/22/15,11,65100,4080,5.61,36456000
10/23/15,10,62900,3800,5.3,35224000
10/24/15,11,68200,4300,5.22,38192000
10/25/15,10,64500,3970,5.14,36120000
10/26/15,12,63500,3740,5.45,35560000
10/27/15,11,68200,3960,5.26,38192000
10/28/15,11,69200,3990,5.26,38752000
10/29/15,11,68700,3990,5.23,38472000
10/30/15,11,65200,3900,5.3,36512000
10/31/15,11,70800,4250,4.93,39648000
11/1/15,10,71600,4530,5.23,40096000
11/2/15,11,66000,3940,5.45,36960000
11/3/15,12,66400,4000,5.5,37184000
11/4/15,12,65200,3930,5.53,36512000
11/5/15,11,67600,4030,5.38,37856000
11/6/15,11,69900,4180,5.28,39144000
11/7/15,11,67400,4180,5.16,37744000
11/8/15,10,71700,4420,5.17,40152000
11/9/15,10,73400,4540,5.72,41104000
11/10/15,8,83600,6670,7.34,46816000
11/11/15,8,83800,6700,7.19,46928000
11/12/15,10,69500,4120,5.34,38920000
11/13/15,10,71200,4360,5.35,39872000
11/14/15,10,66400,4150,5.2,37184000
11/15/15,10,69300,3930,4.74,38808000
11/16/15,11,64800,3750,5.31,36288000
11/17/15,11,64000,3770,5.36,35840000
11/18/15,12,63800,3540,5.04,35728000
11/19/15,11,69800,4090,5.3,39088000
11/20/15,11,67100,4020,5.27,37576000
11/21/15,11,68800,3980,4.85,38528000
11/22/15,11,71800,4070,4.87,40208000
11/23/15,10,70800,3950,5.24,39648000
11/24/15,10,68300,3770,5,38248000
11/25/15,12,63100,3670,5.29,35336000
11/26/15,12,68400,3860,5.1,38304000
11/27/15,11,67400,3750,5.2,37744000
11/28/15,12,63100,3530,4.91,35336000
11/29/15,12,63300,3430,4.7,35448000
12/1/15,12,63500,3640,5.42,35560000
12/2/15,11,67300,3780,5.16,37688000
12/3/15,12,62500,3740,5.46,35000000
12/4/15,12,67500,3890,5.16,37800000
12/5/15,11,70200,4280,5.2,39312000
12/6/15,11,71200,4180,5.04,39872000
12/7/15,12,69100,3930,5.31,38696000
12/8/15,12,64900,3680,5.15,36344000
12/9/15,11,69800,3930,5.07,39088000
12/10/15,12,65500,3670,4.99,36680000
12/11/15,9,70400,4710,5.89,39424000
12/12/15,9,76500,5680,6.21,42840000
12/13/15,11,70700,3880,4.63,39592000
12/14/15,12,65500,3320,4.64,36680000
12/15/15,12,61700,3740,4.73,34552000
12/16/15,10,64200,4130,4.87,35952000
12/17/15,10,66800,4250,4.83,37408000
12/18/15,10,64200,4350,4.98,35952000
12/19/15,10,60600,4200,4.73,33936000
12/20/15,11,66000,4550,4.77,36960000
12/21/15,11,65400,3600,4.33,36624000
12/22/15,11,65300,4040,4.72,36568000
12/23/15,12,61300,4060,4.95,34328000
12/24/15,10,66100,4370,4.6,37016000
12/25/15,11,68000,4670,4.64,38080000
12/26/15,10,66000,3930,4.2,36960000
12/27/15,11,67100,4050,4.35,37576000
12/28/15,11,63300,3810,4.56,35448000
12/29/15,11,63000,3980,4.76,35280000
12/30/15,11,61400,3830,4.57,34384000
12/31/15,11,60900,3900,4.39,34104000
1/1/16,10,66500,3920,4.06,37240000
1/2/16,11,68600,3850,4.08,38416000
1/3/16,9,65000,4100,4.47,36400000
1/4/16,12,63000,3720,4.65,35280000
1/5/16,11,64400,3970,4.8,36064000
1/6/16,12,61400,3760,4.73,34384000
1/7/16,12,61900,3920,4.82,34664000
1/8/16,12,60400,3760,4.68,33824000
1/9/16,10,64700,4090,4.41,36232000
1/10/16,11,64500,3990,4.38,36120000
1/11/16,12,59700,3860,4.9,33432000
1/12/16,12,62600,3820,4.66,35056000
1/13/16,12,62000,3800,4.63,34720000
1/14/16,11,63000,3920,4.63,35280000
